Location,FRCArea,X-Value/Easting,Y-Value/Northing,Latitude,Longitude,Type
FW100,Area 3,51946.51,30256.5,35.97734706,84.27356327,MP
FW101,Area 3,51946.59,30260.56,35.9773564,84.27357076,MP
FW102,Area 3,51946.43,30264.91,35.97736604,84.27357947,MP
FW103,Area 3,51939.68,30260.59,35.9773458,84.27359013,SP
FW104,Area 3,51949.54,30260.35,35.97736048,84.27356212,SP
FW105,Area 3,51918.15,30260.45,35.97731222,84.27365003,SP
FW106,Area 3,51955.823,30228.37936,35.97729757,84.2734838,SP
FW107,Area 3,51946.4651,30253.30346,35.97733973,84.27355732,MP
FW108,Area 3,51942.38802,30269.45745,35.97737012,84.27359941,MP
FW109,Area 3,51948.59724,30266.7695,35.97737361,84.27357695,MP
FW110,Area 3,51963.55,30261.22,35.9773841,84.27352462,SP
FW111,Area 3,51950.9837,30227.37898,35.97728782,84.27349543,SP
FW112,Area 3,51985.93466,30232.24152,35.97735286,84.273407,SP
FW113,Area 3,51947.8995,30227.91288,35.97728427,84.2735056,MP
FW114,Area 3,51950.24,30229.59,35.97729169,84.27350171,SP
FW115,Area 3,51959.5,30228.41,35.97730333,84.27347358,MP
FW116,Area 3,51988.96091,30221.29646,35.97733267,84.27337774,SP
FW117,Area 3,51989.45214,30217.96812,35.97732587,84.27337004,SP
FW118,Area 3,51958.796,30260.624,35.9773754,84.27353677,SP
FW119,Area 3,51945.3,30244.908,35.97731886,84.27354462,SP
FW120,Area 3,51984.772,30230.408,35.9773469,84.27340676,MP
